Date,Region,Product,Sales,Revenue,Profit,Quantity
15-Mar-2026,North America,Cloud Engine,10,45000,18000,10
2026/03/15,EMEA,AI Pro,10,45000,18000,10
Mar 15, 2026,APAC,Cloud Engine,10,45000,18000,10
2026-03-15,North America,AI Pro,10,45000,18000,10
03/15/2026,EMEA,Cloud Engine,10,45000,18000,10
15-Mar-2026,APAC,AI Pro,10,45000,18000,10
2026/03/15,North America,Cloud Engine,10,45000,18000,10
Mar 15, 2026,EMEA,AI Pro,10,45000,18000,10
2026-03-15,APAC,Cloud Engine,10,45000,18000,10
03/15/2026,North America,AI Pro,10,45000,18000,10
15-Mar-2026,EMEA,Cloud Engine,10,45000,18000,10
2026/03/15,APAC,AI Pro,10,45000,18000,10
Mar 15, 2026,North America,Cloud Engine,10,45000,18000,10
2026-03-15,EMEA,AI Pro,10,45000,18000,10
03/15/2026,APAC,Cloud Engine,10,45000,18000,10
15-Mar-2026,North America,AI Pro,10,45000,18000,10
2026/03/15,EMEA,Cloud Engine,10,45000,18000,10
Mar 15, 2026,APAC,AI Pro,10,45000,18000,10
2026-03-15,North America,Cloud Engine,10,45000,18000,10
03/15/2026,EMEA,AI Pro,10,45000,18000,10
15-Mar-2026,APAC,Cloud Engine,10,45000,18000,10
2026/03/15,North America,AI Pro,10,45000,18000,10
Mar 15, 2026,EMEA,Cloud Engine,10,45000,18000,10
2026-03-15,APAC,AI Pro,10,45000,18000,10
03/15/2026,North America,Cloud Engine,10,45000,18000,10
15-Mar-2026,EMEA,AI Pro,10,45000,18000,10
2026/03/15,APAC,Cloud Engine,10,45000,18000,10
Mar 15, 2026,North America,AI Pro,10,45000,18000,10
2026-03-15,EMEA,Cloud Engine,10,45000,18000,10
03/15/2026,APAC,AI Pro,10,45000,18000,10
15-Mar-2026,North America,Cloud Engine,10,45000,18000,10
2026/03/15,EMEA,AI Pro,10,45000,18000,10
Mar 15, 2026,APAC,Cloud Engine,10,45000,18000,10
2026-03-15,North America,AI Pro,10,45000,18000,10
03/15/2026,EMEA,Cloud Engine,10,45000,18000,10
15-Mar-2026,APAC,AI Pro,10,45000,18000,10
2026/03/15,North America,Cloud Engine,10,45000,18000,10
Mar 15, 2026,EMEA,AI Pro,10,45000,18000,10
2026-03-15,APAC,Cloud Engine,10,45000,18000,10
03/15/2026,North America,AI Pro,10,45000,18000,10
15-Mar-2026,EMEA,Cloud Engine,10,45000,18000,10
2026/03/15,APAC,AI Pro,10,45000,18000,10
Mar 15, 2026,North America,Cloud Engine,10,45000,18000,10
2026-03-15,EMEA,AI Pro,10,45000,18000,10
03/15/2026,APAC,Cloud Engine,10,45000,18000,10
15-Mar-2026,North America,AI Pro,10,45000,18000,10
2026/03/15,EMEA,Cloud Engine,10,45000,18000,10
Mar 15, 2026,APAC,AI Pro,10,45000,18000,10
2026-03-15,North America,Cloud Engine,10,45000,18000,10
03/15/2026,EMEA,AI Pro,10,45000,18000,10
15-Mar-2026,APAC,Cloud Engine,10,45000,18000,10
2026/03/15,North America,AI Pro,10,45000,18000,10
Mar 15, 2026,EMEA,Cloud Engine,10,45000,18000,10
2026-03-15,APAC,AI Pro,10,45000,18000,10
03/15/2026,North America,Cloud Engine,10,45000,18000,10
15-Mar-2026,EMEA,AI Pro,10,45000,18000,10
2026/03/15,APAC,Cloud Engine,10,45000,18000,10
Mar 15, 2026,North America,AI Pro,10,45000,18000,10
2026-03-15,EMEA,Cloud Engine,10,45000,18000,10
03/15/2026,APAC,AI Pro,10,45000,18000,10
15-Mar-2026,North America,Cloud Engine,10,45000,18000,10
2026/03/15,EMEA,AI Pro,10,45000,18000,10
Mar 15, 2026,APAC,Cloud Engine,10,45000,18000,10
2026-03-15,North America,AI Pro,10,45000,18000,10
03/15/2026,EMEA,Cloud Engine,10,45000,18000,10
15-Mar-2026,APAC,AI Pro,10,45000,18000,10
2026/03/15,North America,Cloud Engine,10,45000,18000,10
Mar 15, 2026,EMEA,AI Pro,10,45000,18000,10
2026-03-15,APAC,Cloud Engine,10,45000,18000,10
03/15/2026,North America,AI Pro,10,45000,18000,10
15-Mar-2026,EMEA,Cloud Engine,10,45000,18000,10
2026/03/15,APAC,AI Pro,10,45000,18000,10
Mar 15, 2026,North America,Cloud Engine,10,45000,18000,10
2026-03-15,EMEA,AI Pro,10,45000,18000,10
03/15/2026,APAC,Cloud Engine,10,45000,18000,10
15-Mar-2026,North America,AI Pro,10,45000,18000,10
2026/03/15,EMEA,Cloud Engine,10,45000,18000,10
Mar 15, 2026,APAC,AI Pro,10,45000,18000,10
